,week,year,date,total_revenue
96,49,2009,2009-12-01,232177.5100000049
99,50,2009,2009-12-07,207908.73000000304
101,51,2009,2009-12-14,207685.8700000016
103,52,2009,2009-12-21,35731.90000000003
0,1,2010,2010-01-04,167636.95000000086
2,2,2010,2010-01-11,125493.60999999892
4,3,2010,2010-01-18,119473.3509999989
6,4,2010,2010-01-25,143198.761
8,5,2010,2010-02-01,112299.69199999892
10,6,2010,2010-02-08,80059.6599999995
12,7,2010,2010-02-15,160506.4020000012
14,8,2010,2010-02-22,151693.20200000104
16,9,2010,2010-03-01,151813.96000000116
18,10,2010,2010-03-08,118785.09999999893
20,11,2010,2010-03-15,164459.77100000027
22,12,2010,2010-03-22,172063.68000000075
24,13,2010,2010-03-29,118502.61999999962
26,14,2010,2010-04-06,124314.75999999935
28,15,2010,2010-04-12,141539.38099999944
30,16,2010,2010-04-19,138922.6199999997
32,17,2010,2010-04-26,170900.75100000002
34,18,2010,2010-05-04,149102.8300000001
36,19,2010,2010-05-10,155673.5400000018
38,20,2010,2010-05-17,138681.5699999983
40,21,2010,2010-05-24,142033.26999999874
42,22,2010,2010-06-01,90358.0599999986
44,23,2010,2010-06-07,200239.71000000244
46,24,2010,2010-06-14,126987.38999999831
48,25,2010,2010-06-21,103924.83999999861
50,26,2010,2010-06-28,170793.5700000008
52,27,2010,2010-07-05,136775.1199999993
54,28,2010,2010-07-12,144495.57999999897
56,29,2010,2010-07-19,133615.99999999854
58,30,2010,2010-07-26,149554.97999999835
60,31,2010,2010-08-02,117866.3699999983
62,32,2010,2010-08-09,139842.0699999989
64,33,2010,2010-08-16,154786.91000000027
66,34,2010,2010-08-23,136279.5499999991
68,35,2010,2010-08-31,123619.54999999938
70,36,2010,2010-09-06,119333.9399999982
72,37,2010,2010-09-13,155778.92099999948
74,38,2010,2010-09-20,223587.04000000286
76,39,2010,2010-09-27,302392.6600000099
78,40,2010,2010-10-04,243007.44000000457
80,41,2010,2010-10-11,298614.0400000073
82,42,2010,2010-10-18,220882.67000000464
84,43,2010,2010-10-25,197721.45000000208
86,44,2010,2010-11-01,262597.86000000814
88,45,2010,2010-11-08,282707.7010000081
90,46,2010,2010-11-15,261610.06100000872
92,47,2010,2010-11-22,246492.99000000808
94,48,2010,2010-11-29,261679.38000000807
97,49,2010,2010-12-06,212619.13000000297
100,50,2010,2010-12-13,163116.12000000078
102,51,2010,2010-12-20,46059.510000000024
1,1,2011,2011-01-04,114636.7999999984
3,2,2011,2011-01-10,154344.84999999995
5,3,2011,2011-01-17,175452.23000000062
7,4,2011,2011-01-24,104860.9999999986
9,5,2011,2011-01-31,105955.80999999888
11,6,2011,2011-02-07,87827.93999999951
13,7,2011,2011-02-14,125700.1499999987
15,8,2011,2011-02-21,130380.76999999824
17,9,2011,2011-02-28,117386.81999999861
19,10,2011,2011-03-07,112193.92999999887
21,11,2011,2011-03-14,137669.81999999858
23,12,2011,2011-03-21,129560.71999999843
25,13,2011,2011-03-28,143657.5799999994
27,14,2011,2011-04-04,119697.72999999831
29,15,2011,2011-04-11,134930.8209999988
31,16,2011,2011-04-18,115969.3999999994
33,17,2011,2011-04-26,73374.06000000006
35,18,2011,2011-05-03,131094.1199999994
37,19,2011,2011-05-09,178574.31999999992
39,20,2011,2011-05-16,195818.78999999957
41,21,2011,2011-05-23,146776.61000000077
43,22,2011,2011-05-31,102040.36999999956
45,23,2011,2011-06-06,193704.11999999874
47,24,2011,2011-06-13,171702.43999999957
49,25,2011,2011-06-20,112600.66999999907
51,26,2011,2011-06-27,116250.81999999876
53,27,2011,2011-07-04,131222.5199999993
55,28,2011,2011-07-11,118078.72999999874
57,29,2011,2011-07-18,167284.43999999927
59,30,2011,2011-07-25,164258.04099999976
61,31,2011,2011-08-01,155943.0000000004
63,32,2011,2011-08-08,143544.61999999968
65,33,2011,2011-08-15,167634.39999999956
67,34,2011,2011-08-22,147595.96000000052
69,35,2011,2011-08-30,113825.96999999923
71,36,2011,2011-09-05,166212.45999999924
73,37,2011,2011-09-12,208718.8799999982
75,38,2011,2011-09-19,309091.50100000505
77,39,2011,2011-09-26,193654.4309999985
79,40,2011,2011-10-03,296214.2400000022
81,41,2011,2011-10-10,203708.95000000004
83,42,2011,2011-10-17,254775.57000000097
85,43,2011,2011-10-24,236456.84000000052
87,44,2011,2011-10-31,259374.02000000008
89,45,2011,2011-11-07,263717.33000000083
91,46,2011,2011-11-14,276216.9800000018
93,47,2011,2011-11-21,248234.58000000165
95,48,2011,2011-11-28,250833.04000000146
98,49,2011,2011-12-05,408044.97000000026
